id,nazev,enable_main_table,show_in_table,poradi
2.0,Pšenice ozimá,Y,Y,
3.0,Řepka ozimá,Y,Y,5.0
4.0,Hrách,Y,N,16.0
5.0,Pšenice jarní,Y,N,
6.0,Ječmen jarní,Y,Y,1.0
7.0,Ječmen ozimý,Y,Y,0.0
8.0,Kukuřice,Y,N,6.0
27.0,Svazenka,Y,N,17.0
9.0,Oves nahý,Y,N,12.0
10.0,Tritikále jarní,Y,N,15.0
12.0,Cukrová řepa,N,Y,18.0
14.0,Oves černý,Y,N,13.0
15.0,Slunečnice,Y,N,19.0
16.0,Kukuřice na zrno,Y,Y,7.0
17.0,Kukuřice na siláž,Y,Y,8.0
18.0,Žito ozimé,Y,N,9.0
25.0,Oves setý,Y,N,11.0
20.0,Tritikále ozimé,Y,Y,14.0
21.0,Žito jarní,Y,N,10.0
22.0,Peluška,Y,N,20.0
23.0,Hořčice,Y,N,21.0
24.0,Řepka jarní,Y,N,4.0
31.0,Vojtěška semeno,Y,N,22.0
32.0,Jetel semeno,Y,N,23.0
34.0,Hrách+jetel,N,N,24.0
35.0,Hrách + oves,N,N,25.0
36.0,Hrách + oves s podsevem vojtěšky,N,N,26.0
37.0,Oves + Jetel,N,N,27.0
38.0,Kukuřice na mačkané zrno,N,N,28.0
39.0,Kostřava rákosovitá,N,N,29.0
40.0,jarní směska,N,N,30.0
41.0,Hrách + jarní ječmen,N,N,31.0
42.0,Hrách + jarní ječmen s podsevem vojtěšky,Y,N,33.0
43.0,jetel,Y,N,34.0
44.0,Oves+podsev tráva,N,N,35.0
45.0,KUKUŘICE na CCM,N,Y,32.0
47.0,Hrách+podsev vojtěška,Y,N,
46.0,Oves žlutý,Y,N,
50.0,Sója,N,Y,
51.0,žito ozimé + peluška ozimá,N,N,
49.0,Vojtěška,Y,N,
52.0,Pšenice ŠPALDA,Y,N,
53.0,Oves žlutý,N,N,
54.0,Vojtěškotrávní směs,Y,N,
55.0,Jílek vytrvalý,N,N,
56.0,Luční trávy na OP,N,N,
57.0,OCHRANNÉ PÁSY,N,N,
58.0,jetel+jílek,N,N,
59.0,brambory,N,N,
60.0,TRAVNÍ POROST NA ORNÉ,N,N,
61.0,jetelotráva,N,N,
62.0,OZIMÁ MEZIPLODINA,N,N,2.0
63.0,PELUŠKA OZIMÁ - MEZIPLODINA,Y,N,
64.0,žito senáž,N,N,3.0
65.0,Hrách + ječmen jarní s podsevem jetelotr,Y,N,
66.0,Úhor,Y,N,
67.0,PŠENICE JARNÍ,N,N,
68.0,Mastodon,N,N,
69.0,zelené hnojení,N,N,
70.0,Oves pluchatý,N,N,
71.0,jetelotráva,N,N,
72.0,směs pícní speciální,N,N,
73.0,test,Y,Y,30.0
