id,Year,PlodinaID,CistaVaha,PodnikID
12,2019,6,669.11,4
13,2019,7,1128.47,4
14,2019,9,76.75,4
15,2019,25,90.68,4
16,2019,2,1994.96,4
17,2019,3,711.0,4
19,2019,2,5341.2,3
20,2019,6,1307.3,3
21,2019,4,219.13,3
22,2019,6,122.0,6
23,2019,18,90.0,6
24,2019,3,1297.0,3
25,2019,16,965.0,3
26,2019,17,6186.1,3
27,2019,8,710.0,3
28,2019,7,1544.71,3
29,2019,17,5701.59,4
30,2020,6,650.52,4
31,2020,7,809.24,4
32,2020,9,121.87,4
33,2020,2,2941.54,4
34,2020,3,838.16,4
35,2021,3,600.01,4
36,2021,7,663.57,4
37,2021,2,2047.16,4
38,2021,20,61.43,4
39,2021,6,433.72,4
40,2021,25,94.06,4
41,2021,9,114.2,4
42,2024,2,577.59,4
43,2024,7,469.9,4
44,2024,3,360.65,4
45,2024,17,4226.63,4
46,2024,70,998.38,9
47,2024,52,99.85,9
