id,nazev
1,DK Excelsium
2,DK Exquisit
13,Toreroo
14,Anja
15,Johanna
16,Padura
17,Hybery
18,Hifi
19,Nelson
20,Grizzly
21,RGT Reform
22,Vanessa
23,Calgary
24,Umberto KWS
25,Kicker
26,DK Expansion
27,Atora
28,RGT Dozzen
29,SY Florida
30,Anniston
31,Marcopolos
32,Hybrid rock
33,Alvaro KWS
34,Hamour
35,DK Exception
36,pokus-zbytky
38,Arabella
39,ES Mambo
40,Jumper
41,Silver
42,Kuga
43,Cedrico
44,Sandra
45,Carmina
46,LG Imposanto
47,Viriato
49,Golem
50,Rivero
51,Advokat
52,Frisky
53,KWS Ozon
54,Triumph
55,Marisa
56,Sonnengold
57,In Vigor
58,Angelico
59,Marc KWS
60,Sesypy
61,Architect
62,Arsenal
63,Avenue
64,Amadeus
65,Arkeos
66,Sheriff
67,Athlon
68,Steffi
69,Bohemia
70,Adverdo
71,Herakles
72,Respect
73,Spurt
74,Cornetto
75,Bojos
76,Sagar
77,Lump
78,Raven
79,Laureate
80,P8000
81,SUM 235
82,Beatle
83,Valterinio
84,KWS 2322
85,KWS 2322
86,KWS 2323
87,Sixxtus
88,NewMilk
90,Quintus
91,Laudis
92,Salamanca + Bonus
93,Boxer
94,Audit
95,Picobella
96,Drake
97,Varios
98,Gellert
99,BTS 710
100,Patrik
101,Ozon
102,směs
103,ES Bigben
104,P 8816
105,Karlaxx
106,co dům dal
107,Prophet
108,Otakar
109,Lipexx
110,Feroxxy
111,Bixx
112,Trendy
113,Sázava
114,Korok+Respect
115,Raven+Spurt
116,RGT Volumixx
117,LG 31235
118,P 9074
119,KWS Agrovitalo
120,KWS Stabil
121,LG 3258
122,RGT Sixxtus
124,ES Legolas
125,RGT Feroxxy
126,RGT Exxotika
127,KWS Walterinio
128,RGT Lipexx
129,SU Performer
130,Danubio
131,Big Ben
132,Campona
133,AGROPOLIS
134,CORFINIO
135,DKC 3568
136,ES BIGBEN
137,ES JOCKER
138,SUVIDA
139,Suseta
140,KWS Nestor
141,KWS Juventus
142,Allison
143,zbytky
144,Cesario
145,Ermino
146,pokus
147,NEWTON
148,DARIOT
149,ES NAVIGO
150,TULUS
151,DEPOT
152,EXPO
153,LG Mocca
154,RIVERO
155,Gordian
156,LG ZORO
157,Inspector
158,Airbus
159,Centurion
160,PT 271
161,Mambo
162,Laurin
163,Sitka
164,Julie
165,Aktion
166,Chiron
167,Dagmar
168,Liseta
169,PX 113
170,Trezzor
171,RGT Doubleshot
172,Malz
173,Briga KWS
174,SMART Renja
175,Amulet
176,BTS 8840
177,Tim
178,MIX
179,BTS 6995
180,Slovan
181,P 8888
182,RGT Karlaxx
183,Poseidon
184,LG 31276
185,RGT Attraxxion
186,Agro polis
187,Volumixx
188,Walterinio KWS
189,AgroVitallo
190,DKC 3623
191,Pool Position
192,Suzanne
193,Marcamo
194,Stromboli
195,Watson
196,BONUS
197,ES AMULET
198,ES HUBBLE
199,SY GLORIUS+SY GORDIUS
200,Korok+podsev tráva
201,Gipfa
202,Raven+Respect
203,Oliver
204,Inovec
205,Vitalico KWS
206,DK Exotter
207,KWS Umberto
208,LG Ambassador
209,Feliciano
210,Artemis
211,Temptation
212,DK Excited
213,Dukato
214,Ambassador
215,William
216,Barranco
217,Marysell
218,Marysell
219,Marysell
220,LG Orlice
221,Tonnage
222,Protector
223,Absalon
224,Absalon
225,Genius
226,PX 131
227,Absolut
228,Illusion
229,Reform + Aurelius
230,Mocca + Tonnage
231,Serenada
232,Overture
233,SMART Sanya KWS
234,Hopper SMART
235,Pexeso
236,Lion
237,Cezzane
238,vlastní
239,Tybalt
240,Quintus
241,RGT Gagarin
242,Smart Gladiata KWS
243,Smart BTS 9635
244,Registana
245,Frigos
246,Oslava
247,Morava
248,Giulia
249,Vlasta
250,směs vojtěškojetelotráva
251,Rumba
252,Saul
253,Korok
254,Lion
255,CELESTE
256,ASTRONAUTE + UNO
257,DKC 3787
258,Rudolfinio KWS
259,Salamandra
260,Hermino
261,LG 31.224
262,LG 31.227
263,Marcamo
264,Cemora
265,ASTRONAUT + BONUS
266,DKC 3601
267,Korus
268,Kofu
